CountryName,Date,Confirmed,Deaths
Argentina,2020-03-24,426.0,6.0
Argentina,2020-03-25,559.0,8.0
Argentina,2020-03-26,676.0,12.0
Argentina,2020-03-27,762.0,11.0
Argentina,2020-03-28,816.0,19.0
Argentina,2020-03-29,914.0,21.0
Argentina,2020-03-30,1044.0,23.0
Argentina,2020-03-31,1144.0,27.0
Argentina,2020-04-01,1218.0,33.0
Argentina,2020-04-02,1377.0,37.0
Argentina,2020-04-03,1471.0,42.0
Argentina,2020-04-04,1586.0,43.0
Argentina,2020-04-05,1704.0,46.0
Argentina,2020-04-06,1782.0,54.0
Argentina,2020-04-07,1894.0,61.0
Argentina,2020-04-08,1314.0,66.0
Australia,2020-03-22,1354.0,7.0
Australia,2020-03-23,1716.0,7.0
Australia,2020-03-24,2146.0,8.0
Australia,2020-03-25,2431.0,9.0
Australia,2020-03-26,2810.0,13.0
Australia,2020-03-27,3180.0,13.0
Australia,2020-03-28,3640.0,14.0
Australia,2020-03-29,3984.0,16.0
Australia,2020-03-30,4250.0,18.0
Australia,2020-03-31,4561.0,19.0
Australia,2020-04-01,4864.0,21.0
Australia,2020-04-02,5136.0,24.0
Australia,2020-04-03,5358.0,28.0
Australia,2020-04-04,5552.0,30.0
Australia,2020-04-05,5693.0,35.0
Australia,2020-04-06,5800.0,41.0
Australia,2020-04-07,5919.0,48.0
Australia,2020-04-08,6024.0,50.0
Bolivia,2020-03-30,94.0,6.0
Bolivia,2020-04-06,145.0,9.0
Bolivia,2020-04-08,244.0,8.0
Brazil,2020-03-19,621.0,6.0
Brazil,2020-03-20,904.0,11.0
Brazil,2020-03-21,1128.0,18.0
Brazil,2020-03-22,1546.0,25.0
Brazil,2020-03-23,1891.0,34.0
Brazil,2020-03-24,2201.0,46.0
Brazil,2020-03-25,2433.0,57.0
Brazil,2020-03-26,2915.0,77.0
Brazil,2020-03-27,3417.0,92.0
Brazil,2020-03-28,3904.0,114.0
Brazil,2020-03-29,4256.0,136.0
Brazil,2020-03-30,4579.0,159.0
Brazil,2020-03-31,5717.0,201.0
Brazil,2020-04-01,6836.0,240.0
Brazil,2020-04-02,7910.0,299.0
Brazil,2020-04-03,9056.0,359.0
Brazil,2020-04-04,10278.0,432.0
Brazil,2020-04-05,11130.0,486.0
Brazil,2020-04-06,12056.0,553.0
Brazil,2020-04-07,13717.0,667.0
Brazil,2020-04-08,15927.0,800.0
Canada,2020-03-20,958.0,12.0
Canada,2020-03-21,1289.0,18.0
Canada,2020-03-22,1417.0,20.0
Canada,2020-03-23,1633.0,24.0
Canada,2020-03-24,1946.0,27.0
Canada,2020-03-25,3372.0,35.0
Canada,2020-03-26,4005.0,39.0
Canada,2020-03-27,4662.0,53.0
Canada,2020-03-28,5373.0,59.0
Canada,2020-03-29,6242.0,61.0
Canada,2020-03-30,7411.0,89.0
Canada,2020-03-31,8523.0,96.0
Canada,2020-04-01,9582.0,109.0
Canada,2020-04-02,11255.0,138.0
Canada,2020-04-03,12506.0,187.0
Canada,2020-04-04,13869.0,231.0
Canada,2020-04-05,15483.0,280.0
Canada,2020-04-06,16640.0,323.0
Canada,2020-04-07,17870.0,380.0
Canada,2020-04-08,19261.0,435.0
China,2020-01-22,458.0,9.0
China,2020-01-23,609.0,17.0
China,2020-01-24,882.0,26.0
China,2020-01-25,1347.0,41.0
China,2020-01-26,2011.0,56.0
China,2020-01-27,2798.0,81.0
China,2020-01-28,4569.0,106.0
China,2020-01-29,6041.0,132.0
China,2020-01-30,7776.0,170.0
China,2020-01-31,9771.0,213.0
China,2020-02-01,11845.0,259.0
China,2020-02-02,14423.0,304.0
China,2020-02-03,17266.0,361.0
China,2020-02-04,20447.0,425.0
China,2020-02-05,24318.0,491.0
China,2020-02-06,28051.0,563.0
China,2020-02-07,31150.0,636.0
China,2020-02-08,34555.0,723.0
China,2020-02-09,37174.0,812.0
China,2020-02-10,40118.0,908.0
China,2020-02-11,42581.0,1016.0
China,2020-02-12,44624.0,1114.0
China,2020-02-13,59778.0,1367.0
China,2020-02-14,63796.0,1381.0
China,2020-02-15,66427.0,1523.0
China,2020-02-16,68405.0,1666.0
China,2020-02-17,70333.0,1770.0
China,2020-02-18,72447.0,1871.0
China,2020-02-19,74196.0,2009.0
China,2020-02-20,74509.0,2121.0
China,2020-02-21,75485.0,2239.0
China,2020-02-22,76126.0,2345.0
China,2020-02-23,76685.0,2439.0
China,2020-02-24,77186.0,2596.0
China,2020-02-25,77681.0,2666.0
China,2020-02-26,77752.0,2711.0
China,2020-02-27,78527.0,2747.0
China,2020-02-28,78649.0,2789.0
China,2020-02-29,78977.0,2831.0
China,2020-03-01,79557.0,2869.0
China,2020-03-02,80071.0,2915.0
China,2020-03-03,79566.0,2938.0
China,2020-03-04,79574.0,2969.0
China,2020-03-05,79769.0,3009.0
China,2020-03-06,79715.0,3031.0
China,2020-03-07,78675.0,3048.0
China,2020-03-08,79899.0,3092.0
China,2020-03-09,77081.0,3074.0
China,2020-03-10,77455.0,3093.0
China,2020-03-11,77989.0,3135.0
China,2020-03-12,79173.0,3159.0
China,2020-03-13,75053.0,3130.0
China,2020-03-14,76475.0,3160.0
China,2020-03-15,74176.0,3140.0
China,2020-03-16,73625.0,3153.0
China,2020-03-17,74353.0,3175.0
China,2020-03-18,72087.0,3170.0
China,2020-03-19,73356.0,3178.0
